"Agency/Department","Contract Number","Contract Value","Supplier","Procurement Type","Description","Type of Solicitation","Effective From","Effective To"
"City Wide","25000000707","$200,000.00","The Well Group LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jul 24 12:00:00 AM","2029 Jul 23 12:00:00 AM"
"City Wide","25000000653","$200,000.00","AKB Notary & Signing LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jul 25 12:00:00 AM","2029 Jul 24 12:00:00 AM"
"City Wide","25000000701","$100,000.00","Simplified Solutions Systems LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jul 25 12:00:00 AM","2029 Jul 24 12:00:00 AM"
"Information Technology","24000010298","$175,000.00","J T WILLIAMS COMMUNICATIONS LLC","Invitation to Bid","IFB Requisition240006884/Network Cabling and Wiring Services/5-yr term, 3 one-yr renewal options","Non Professional Services, Technology","2024 Jul 25 12:00:00 AM","2029 Jul 24 12:00:00 AM"
"Public Utilities","25000001367","$1.00","ORACLE AMERICA INC","Request for Proposal","Oracle TCSA US-CSA-CPQ3118770 Cloud Services covering contracts 25000001372. 2500001379, 2500001384 Public Sector Agreement for Cloud Services from RFP240002657","Supplies, Technology","2024 Jul 26 12:00:00 AM","2029 Jul 25 12:00:00 AM"
"City Wide","25000000667","$150,000.00","District Partnerships & Consulting, LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jul 30 12:00:00 AM","2029 Jul 29 12:00:00 AM"
"City Wide","25000000697","$250,000.00","RAFTELIS FINANCIAL CONSULTANTS","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jul 30 12:00:00 AM","2029 Jul 29 12:00:00 AM"
"City Wide","25000000703","$100,000.00","Stone Cold Solutions, LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jul 31 12:00:00 AM","2029 Jul 30 12:00:00 AM"
"City Wide","25000000654","$200,000.00","AS STRATEGY LIMITED LIABILITY COMPANY","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee Development, Organizational / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 01 12:00:00 AM","2029 Jul 31 12:00:00 AM"
"City Wide","25000000677","$50,000.00","Hillstock & Associates","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Workforce Training Consultant / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 01 12:00:00 AM","2029 Jul 31 12:00:00 AM"
"City Wide","25000000680","$250,000.00","HUB International Midwest Limited","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Change Process Management, Talent Advisory Consulting, and Workforce Training Services/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 01 12:00:00 AM","2029 Jul 31 12:00:00 AM"
"City Wide","25000000695","$200,000.00","Precis Screening LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 01 12:00:00 AM","2029 Jul 31 12:00:00 AM"
"City Wide","25000000685","$200,000.00","KGO LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services-Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory Consulting, Workforce Training / 5-Year Initial Term, (2) 2-Year Renewals","Non Professional Services, Non Technology","2024 Aug 02 12:00:00 AM","2029 Aug 01 12:00:00 AM"
"City Wide","25000000698","$150,000.00","Rose Group International","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Workforce Training, Cultural Change / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 02 12:00:00 AM","2029 Aug 01 12:00:00 AM"
"City Wide","25000000706","$900,000.00","Robert Bobb Group LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 02 12:00:00 AM","2029 Aug 01 12:00:00 AM"
"City Wide","25000000665","$100,000.00","Daniel Lynn & Company, LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Project Planning, and Program Management Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 05 12:00:00 AM","2029 Aug 04 12:00:00 AM"
"City Wide","25000000668","$125,000.00","Eddings Enterprises","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Employee Development, Organizational Design / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 05 12:00:00 AM","2029 Aug 04 12:00:00 AM"
"City Wide","25000000678","$200,000.00","Hollin Wright Enterprises, LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 05 12:00:00 AM","2029 Aug 04 12:00:00 AM"
"City Wide","25000000679","$200,000.00","HR AND A Advisors Inc.","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Change Process, Cultural Change, Investment Consultant, Real Estate and Infrastructure, Retail Revitalization, Urban Developmen / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 05 12:00:00 AM","2029 Aug 04 12:00:00 AM"
"City Wide","25000000700","$100,000.00","RTDQ","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Project Planning, Program Management, Investment Consultant and Management, Real Estate and Infrastructure / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 05 12:00:00 AM","2029 Aug 04 12:00:00 AM"
"City Wide","25000000705","$200,000.00","The Research Associates","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Retail Revitalization, Urban Dev. / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 05 12:00:00 AM","2029 Aug 04 12:00:00 AM"
"City Wide","25000000708","$100,000.00","Twenty39","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 05 12:00:00 AM","2029 Aug 04 12:00:00 AM"
"City Wide","25000000651","$200,000.00","Accenture LLP","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 12 12:00:00 AM","2029 Aug 11 12:00:00 AM"
"City Wide","25000000681","$200,000.00","Impact Makers, Inc.","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 12 12:00:00 AM","2029 Aug 11 12:00:00 AM"
"City Wide","25000000696","$200,000.00","Pulse HR Solutions, LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Mangement, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 12 12:00:00 AM","2029 Aug 11 12:00:00 AM"
"City Wide","25000000663","$100,000.00","Corrin & King Business Strategies, LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Program Management, Workforce Training, Employee Development, Organizational Design, Cultural Change Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 13 12:00:00 AM","2029 Aug 12 12:00:00 AM"
"City Wide","25000000675","$200,000.00","Health Management Associates, Inc.","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Workforce Training, Employee Development, Org. / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 13 12:00:00 AM","2029 Aug 12 12:00:00 AM"
"City Wide","25000000689","$200,000.00","Mid Dive LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 13 12:00:00 AM","2029 Aug 12 12:00:00 AM"
"City Wide","25000000690","$150,000.00","ICMA-RC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 16 12:00:00 AM","2029 Aug 15 12:00:00 AM"
"Public Utilities","25000001379","$232,720.00","ORACLE AMERICA INC","Request for Proposal","Oracle Saas/PaaS CPQ3464418 -1 agreement, reference Master Agreement CSA-CPQ-311870 from RFP240002567","Supplies, Technology","2024 Aug 16 12:00:00 AM","2029 Aug 15 12:00:00 AM"
"Public Utilities","25000001384","$4,331,292.17","ORACLE AMERICA INC","Request for Proposal","Oracle License Ordering CPQ-3118770 -1 Software Fees reference CSA CPQ3118770 from RFP240002567","Supplies, Technology","2024 Aug 16 12:00:00 AM","2029 Aug 15 12:00:00 AM"
"City Wide","25000000659","$200,000.00","Break the Norm Leadership","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee D/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 19 12:00:00 AM","2029 Aug 18 12:00:00 AM"
"City Wide","25000000683","$100,000.00","iZeal, Ind","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 19 12:00:00 AM","2029 Aug 18 12:00:00 AM"
"City Wide","25000000691","$500,000.00","MK3 Solutions","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Cultural / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 20 12:00:00 AM","2029 Aug 19 12:00:00 AM"
"City Wide","25000000682","$250,000.00","Invoti L.L.C.","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 23 12:00:00 AM","2029 Aug 22 12:00:00 AM"
"City Wide","25000000648","$200,000.00","A. Key Enterprises LLC","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 27 12:00:00 AM","2029 Aug 26 12:00:00 AM"
"City Wide","25000000662","$100,000.00","VCU OFFICE OF PUBLIC POLICY","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Change Process, Workforce Training, Employee Development, Organizational Design, Cultural Change / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 27 12:00:00 AM","2029 Aug 26 12:00:00 AM"
"City Wide","25000000684","$150,000.00","Jones Lang LaSalle Americas, Inc.","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Project Planning, Investment and Management, Real Estate and Infrastructure, Retail Revitalization and Redevelopment, Urban Dev / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 27 12:00:00 AM","2029 Aug 26 12:00:00 AM"
"City Wide","25000000704","$150,000.00","The Bladen Group","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Workforce Training, Organizational Design, Cult/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Aug 27 12:00:00 AM","2029 Aug 26 12:00:00 AM"
"City Wide","25000000673","$200,000.00","GME Enterprises","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee D/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Sep 04 12:00:00 AM","2029 Sep 03 12:00:00 AM"
"City Wide","25000000670","$150,000.00","Gartner, Inc","Invitation to Bid","IFB# 240009727 // DO NOT USE //Implementation Management, Project Planning, Program Management, Change Process, Org Design, and Cultural Change Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Sep 05 12:00:00 AM","2029 Sep 04 12:00:00 AM"
"City Wide","25000000693","$200,000.00","Performance Institute","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Workforce Training, Employee Dev., Org Design / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Sep 05 12:00:00 AM","2029 Sep 04 12:00:00 AM"
"City Wide","25000000658","$200,000.00","BDO USA, P.C.","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Org Desig / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Sep 06 12:00:00 AM","2029 Sep 05 12:00:00 AM"
